车辆品牌,款式,车型,排量,手动/自动,版型,上牌时间,行驶里程（万公里）,现价（万元）,购车原价（万元）,,,,,,,,,,
大众迈腾,2009款,迈腾,1.8TSI,双离合,舒适版,2010年9月,8.4,11,24.6,,,,,,,,,,
路虎揽胜极光,2012款,,2.0T,自动,耀动版(进口),2012年11月,4.6,33,68.2,,,,,,,,,,
大众帕萨特,2013款,帕萨特,2.0TSI,双离合,至尊版,2013年7月,4.7,19.5,30.9,,,,,,,,,,
宝马5系,2014款,525Li,2.0T,自动,豪华设计套装,2015年1月,5.1,39.8,54.2,,,,,,,,,,
宝马5系,2014款,525Li,2.0T,自动,豪华设计套装,2014年1月,5.3,36.8,54.2,,,,,,,,,,
别克君越,2013款,,2.4,自动,豪华舒适型,2013年9月,4.9,17.28,29.9,,,,,,,,,,
大众速腾,2014款,速腾,1.6,手动,舒适型(改款),2014年3月,5.2,9.5,15.1,,,,,,,,,,
MG6,2010款,6,1.8,手动,世博型贺岁版,2010年4月,7.4,4.6,14,,,,,,,,,,
雪佛兰赛欧-三厢,2010款,,1.4,手动,优逸版,2010年6月,0.5,3.3,7.5,,,,,,,,,,
路虎揽胜极光,2013款,,2.0T,自动,耀动版(进口),2013年10月,6,36,68.2,,,,,,,,,,
沃尔沃XC60,2013款,,2.0T,双离合,T5智雅版(进口),2012年11月,6.2,26,51.5,,,,,,,,,,
日产骐达,2011款,骐达,1.6,无级,XL-LUXURY豪华型,2011年10月,5.6,7,14.9,,,,,,,,,,
铃木天语SX4-两厢,2009款,,1.8,自动,运动版,2009年8月,12.1,4.8,14.5,,,,,,,,,,
奇瑞QQ3,2009款,,1.1,手动,启航版,2009年10月,5.7,1.25,4,,,,,,,,,,
斯巴鲁森林人,2012款,,2.5XS,自动,15周款豪华版(进口),2013年5月,3.7,18,30.2,,,,,,,,,,
丰田汉兰达,2011款,汉兰达,2.7,自动,两驱5座精英版,2012年1月,7.3,17,27,,,,,,,,,,
丰田皇冠,2009款,皇冠,2.5,自动,Royal特别强化版,2009年8月,10.4,14,35.6,,,,,,,,,,
宝马3系,2013款,320Li,2.0T,自动,风尚设计套装(改款),2014年3月,6.8,28.8,44.6,,,,,,,,,,
大众迈腾,2013款,迈腾,2.0TSI,双离合,至尊版,2014年1月,2.5,22.6,31.8,,,,,,,,,,
宝马1系,2008款,120i,2,自动,(进口),2011年6月,4,12.8,31.3,,,,,,,,,,
现代途胜,2009款,,2,自动,两驱舒适天窗型,2013年1月,6.1,10,20,,,,,,,,,,
金杯海狮,2014款,,2.2,手动,豪华型V22,2015年1月,5.8,7.5,9.5,,,,,,,,,,
MINI,2015款,mini one ,1.2t,五门版,,2015年2月,1.9,16.28,,,,,,,,,,,
奔驰A级 AMG,2014款,A45 AMG 4MATIC,2.0T,双离合,(进口),2014年7月,4.5,42,54.1,,,,,,,,,,
宝马3系,2010款,320i,2,自动,时尚型（进口）,2010年8月,9.6,16.8,37.1,,,,,,,,,,
丰田凯美瑞,2010款,凯美瑞,2.4,自动,240G经典版,2010年4月,8.6,11.5,23.3,,,,,,,,,,
别克君越,2010款,,2.4,自动,豪雅版,2011年3月,12,12.5,27.5,,,,,,,,,,
别克君越,2010款,,2.4,自动,豪雅版,2010年5月,3.5,17,27.5,,,,,,,,,,
北京E系列,2012款,,1.5,自动,乐尚版,2013年1月,12.7,3.7,8.2,,,,,,,,,,
路虎发现4,2010款,,4,自动,V6HSE(进口),2010年9月,5.7,55,93.1,,,,,,,,,,
三菱帕杰罗,2012款,,3,自动,精英版(进口),2012年8月,11,27.98,51.9,,,,,,,,,,
东风风行菱智,2016款,菱智M3L,1.6,手动,豪华型7座,2015年12月,2.2,7.3,8.1,,,,,,,,,,
丰田卡罗拉,2009款,卡罗拉,1.6,自动,GL天窗特别版,2009年11月,2.5,5,15.9,,,,,,,,,,
绅宝D20-两厢,2015款,,1.5,自动,乐尚版,2015年2月,0.2,5,7.6,,,,,,,,,,
Smartfortwo,2013款,,1.0T,,敞篷激情版,2014年9月,2.6,10.5,,,,,,,,,,,
Smartfortwo,2012款,,1,,硬顶标准版,2013年1月,4.5,7.8,,,,,,,,,,,
福特全顺,2006款,经典全顺,2.8T,手动,短轴中顶普通型10-12座柴油,2014年7月,2.2,11,15.6,,,,,,,,,,
长安CS35,2015款,,1.6,自动,豪华型,2016年1月,2.4,7.7,10.1,,,,,,,,,,
铃木北斗星,2012款,,1.4,手动,豪华,2014年9月,2.3,3,,,,,,,,,,,
马自达6,2007款,6,2,手动,,2010年3月,9.6,6,18.5,,,,,,,,,,
奥迪Q3,2013款,Q3,2.0TFSI,双离合,35TFSI进取型,2013年4月,2.6,18.8,30.9,,,,,,,,,,
雪佛兰乐风,2006款,,1.6,手动,SX,2008年9月,5,2.8,10.2,,,,,,,,,,
大众速腾,2010款,速腾,1.4TSI,双离合,豪华版,2011年1月,6.9,8,18.4,,,,,,,,,,
大众朗逸,2013款,朗逸,1.6,自动,舒适版,2012年10月,5.4,8,15,,,,,,,,,,
别克英朗,2012款,英朗GT,1.6,手动,进取版,2012年3月,4.4,6.78,14.9,,,,,,,,,,
本田锋范,2009款,锋范,1.5,手动,舒适版,2009年10月,11.2,4.3,10.5,,,,,,,,,,
日产骐达,2011款,,1.6,无级,XL智能型,2011年7月,3.8,6.8,13.6,,,,,,,,,,
雪佛兰科鲁兹,2013款,,1.8,自动,SE,2013年10月,3.8,7.5,14.9,,,,,,,,,,
大众Polo,2009款,POLO劲情,1.6,自动,Sporty,2009年11月,3.5,4.8,11.7,,,,,,,,,,
宝马5系,2010款,520Li,2,自动,豪华型,2010年9月,10.6,16.84,46,,,,,,,,,,
宝马3系,2010款,325i,2.5,自动,时尚型,2010年11月,14.7,15.3,44.3,,,,,,,,,,
三菱欧蓝德EX劲界,2010款,,2,无级,运动版(进口),2010年8月,7.5,11,26.6,,,,,,,,,,
雪佛兰科鲁兹,2012款,,1.8,自动,SE,2012年10月,5.8,6.8,14.9,,,,,,,,,,
现代伊兰特,2012款,,1.6,手动,GLX领先型,2013年3月,8.8,7.3,12.6,,,,,,,,,,
比亚迪F3,2009款,,1.5,手动,智能白金版Navi 智能型,2009年5月,13.4,1.8,9.4,,,,,,,,,,
别克凯越,2008款,,1.6,自动,舒适版,2010年6月,7.1,4.2,12.8,,,,,,,,,,
中华骏捷FRV,2010款,,1.3,手动,豪华版,2010年5月,9.4,2.45,7.1,,,,,,,,,,
起亚K5,2012款,,2,自动,DLX-2,2012年8月,3.7,11.1,21.7,,,,,,,,,,
标致408,2010款,,1.6,手动,舒适版,2010年8月,7.3,4.8,13.2,,,,,,,,,,
大众CC,2016款,,1.8TSI,双离合,豪华型,2016年7月,0.1,23.5,29.2,,,,,,,,,,
金杯阁瑞斯,2016款,金杯阁瑞斯,2,手动,6座快运实用型,2016年4月,1.2,7,,,,,,,,,,,
奥迪Q5,2015款,Q5,2.0TFSI,自动,40TFSI 进取型,2015年9月,3.1,31,42.1,,,,,,,,,,
大众宝来,2011款,宝来,1.4TSI,双离合,舒适版,2010年10月,5.8,6.5,15.5,,,,,,,,,,
长安商用长安之星Ⅱ代,2008款,,1,手动,,2012年1月,6.1,1.2,4,,,,,,,,,,
斯巴鲁傲虎,2015款,,2.5i,无级,豪华导航版（进口）,2015年4月,3,26,33.3,,,,,,,,,,
MINI,2007款,Mini Cooper,1.6,自动,Excitement(进口),2008年11月,12.1,8.5,34.5,,,,,,,,,,
别克君威,2012款,,2,自动,豪华版,2012年9月,4.4,10.8,22.1,,,,,,,,,,
长安悦翔V3,2012款,,1.3,手动,舒适版,2014年6月,4.6,3,5,,,,,,,,,,
起亚K2-三厢,2011款,,1.4,手动,GLS,2011年12月,6.2,4.49,8.5,,,,,,,,,,
大众朗逸2011款,2011款,,1.4TSI,双离合,品雅版,2011年12月,11.2,7.3,15.9,,,,,,,,,,
三菱劲炫2011款,2011款,,2,无级,四驱劲尚版(进口),2010年12月,2.5,9.8,23.7,,,,,,,,,,
福特福克斯,2011款,福克斯-两厢,1.8,手动,舒适型,2010年9月,5.3,4.9,12.5,,,,,,,,,,
大众途安,2015款,途安,1.4T,手动,舒适版5座,2015年9月,0.7,12.5,17.1,,,,,,,,,,
荣威550,2008款,,1.8,手动,DVVT启逸版,2009年9月,14.4,3.65,14.7,,,,,,,,,,
日产骐达,2008款,骐达,1.6,自动,科技版,2010年1月,5.7,6.2,14.4,,,,,,,,,,
长安逸动,2014款,,1.6,手动,豪华型,2014年8月,2.4,5.1,8.7,,,,,,,,,,
大众速腾,2015款,,1.4TFSI,双离合,230TSI舒适型,2015年7月,1.7,13.5,17.5,,,,,,,,,,
大众迈腾,2009款,迈腾,1.8TSI,双离合,舒适版,2009年7月,8.9,9.4,24.6,,,,,,,,,,
福特蒙迪欧,2010款,蒙迪欧致胜,2.3,自动,时尚型,2010年9月,3.8,7.95,19.5,,,,,,,,,,
长安逸动,2014款,,1.6,手动,豪华型,2014年8月,2.4,5.1,8.7,,,,,,,,,,
大众速腾,2015款,,1.4TFSI,双离合,230TSI舒适型,2015年7月,1.7,13.5,17.5,,,,,,,,,,
大众迈腾,2009款,迈腾,1.8TSI,双离合,舒适版,2009年7月,8.9,9.4,24.6,,,,,,,,,,
福特蒙迪欧,2010款,蒙迪欧致胜,2.3,自动,时尚型,2010年9月,3.8,7.95,19.5,,,,,,,,,,
丰田锐志,2009款,锐志,2.5S,自动,舒适版,2009年11月,12.6,10,24.8,,,,,,,,,,
丰田汉兰达,2007款,汉兰达,3.5,自动,Sport Luxury运动豪华型(进口),2008年10月,14.7,14,53.9,,,,,,,,,,
现代新胜达,2009款,,2.7,自动,豪华型(进口),2009年11月,9,9.8,32.5,,,,,,,,,,
奥迪A6L,2014款,A6L,2.0TFSI,无级,舒适型,2014年8月,4,31,48.5,,,,,,,,,,
吉利帝豪EC8,2011款,,2,手动,舒适型,2012年11月,8.6,4.8,11.9,,,,,,,,,,
斯柯达昊锐,2009款,昊锐,1.8TSI,自动,优雅版,2011年11月,8.7,10,22.3,,,,,,,,,,
绅宝D50,2014款,,1.5,手动,舒适版,2015年1月,5.1,4.8,8.9,,,,,,,,,,
奥迪A8L,2014款,,3.0TFSI,自动,45TFSI quattro舒适型(进口),2014年6月,5.2,53,100.6,,,,,,,,,,
斯柯达明锐,2012款,明锐,1.6,手动,逸杰版,2012年4月,2.9,6.8,13.9,,,,,,,,,,
本田杰德,2013款,杰德,1.8,无级,Vti 5座豪华版,2014年2月,2.3,12.6,18.9,,,,,,,,,,
丰田卡罗拉,2008款,卡罗拉,1.8,自动,GLX-I 特别纪念版,2008年11月,7,5.7,18.4,,,,,,,,,,
荣威350S,2011款,,1.5,手动,讯驰版,2013年4月,3.1,4.98,9.7,,,,,,,,,,
华普海景,2010款,,1.5,手动,基本版,2010年7月,6.5,1.99,6.9,,,,,,,,,,
丰田凯美瑞,2010款,凯美瑞,2,自动,200G经典版,2010年12月,11.4,9.5,20.9,,,,,,,,,,
大众宝来,2011款,宝来,1.6,手动,舒适版,2010年12月,6.1,5.55,12.9,,,,,,,,,,
大众途观,2016款,,1.8TSI,自动,300TSI两驱风尚版,2016年5月,0.2,19,23,,,,,,,,,,
宝马3系,2009款,330i双门轿跑车,3,自动,(进口),2009年8月,8.5,18,68,,,,,,,,,,
吉利GX7,2015款,,1.8,手动,都市型,2015年9月,1.2,5.68,8.7,,,,,,,,,,
奥迪Q5,2013款,Q5,2.0TFSI,自动,40TFSI quattro 进取型,2014年10月,6.7,29.3,41.6,,,,,,,,,,
铃木奥拓,2010款,,1,自动,炫酷版,2010年9月,7.7,2.6,6.8,,,,,,,,,,
现代伊兰特,2012款,朗动,1.6,自动,DLX 尊贵型,2012年11月,6.4,7.89,14.4,,,,,,,,,,
大众高尔夫,2012款,高尔夫6,1.6,手动,舒适版,2012年5月,3,7.5,13.8,,,,,,,,,,
日产奇骏,2012款,奇骏,2.5,无级,XV 旗舰版,2012年9月,3.1,15,28.1,,,,,,,,,,
福特福克斯,2012款,福克斯-三厢,1.6,手动,风尚型,2012年10月,8.2,7.3,14.4,,,,,,,,,,
大众甲壳虫,2010款,甲壳虫,2,自动,BlackOrange舒适版(进口),2010年11月,3.3,10.5,24.7,,,,,,,,,,
大众Polo,2014款,,1.4,自动,舒适版,2014年10月,1.9,7.2,10.7,,,,,,,,,,
大众Polo,2012款,Cross POLO,1.6,自动,,2012年11月,5.9,7.1,13.7,,,,,,,,,,
奥迪A4L,2013款,A4L,2.0TFSI,无级,35TFSI 舒适型,2013年9月,1.4,21,35.8,,,,,,,,,,
别克君威,2012款,,2,自动,舒适版,2013年9月,6.3,11.2,20.2,,,,,,,,,,
凯迪拉克SRX,2013款,,3,自动,精英型(进口),2013年9月,1.6,27.3,51,,,,,,,,,,
别克英朗,2010款,英朗XT,1.8,自动,时尚版,2012年1月,4.4,7.4,17.1,,,,,,,,,,
克莱斯勒300C,2013款,,3.6,自动,尊崇版(进口),2014年6月,1.9,27,53.4,,,,,,,,,,
福特福克斯,2012款,福克斯-三厢,1.6,双离合,风尚型,2013年1月,8.1,8,15.6,,,,,,,,,,
宝马X3,2013款,X3 xDrive20i,2.0T,自动,豪华型(进口),2013年5月,3.8,35.5,54.2,,,,,,,,,,
起亚K5,2011款,,2.4,自动,Premium,2012年9月,5.4,12.98,27.1,,,,,,,,,,
现代伊兰特,2012款,朗动,1.6,自动,GLX 领先型,2013年1月,4.8,8,13.7,,,,,,,,,,
雪佛兰赛欧-三厢,2010款,,1.2,手动,时尚版,2010年10月,8.9,2.9,6.3,,,,,,,,,,
日产玛驰,2011款,玛驰,1.5,手动,XL 酷动Sporty版,2011年10月,2.4,3.6,8,,,,,,,,,,
大众CC,2010款,CC,2.0TSI,双离合,至尊版,2010年9月,8.3,13.8,32.5,,,,,,,,,,
标致508,2011款,,2.3,自动,豪华版,2012年9月,8.8,11,22.8,,,,,,,,,,
别克GL8,2014款,,3,自动,GT 豪雅版,2015年2月,2.5,29.8,40.2,,,,,,,,,,
比亚迪S6,2013款,,2,手动,尊贵型,2013年1月,6.4,5.8,11.7,,,,,,,,,,
奇瑞A5,2009款,,1.5,手动,华贵版,2010年3月,13.1,1.8,7,,,,,,,,,,
MINI,2012款,Mini Cooper,1.6,自动,Baker Street版(进口),2014年4月,1.7,16,30.2,,,,,,,,,,
奔驰GLK级,2014款,GLK260 4MATIC,2.0T,自动,动感型,2014年7月,3.1,31,43.2,,,,,,,,,,
马自达睿翼,2012款,睿翼,2,自动,豪华版,2012年8月,5.1,10.5,21.1,,,,,,,,,,
五菱宏光S,2014款,,1.5,手动,舒适型7-8座,2014年7月,4.9,4.4,7.1,,,,,,,,,,
标致408,2011款,,2,自动,豪华版,2012年8月,2,7.5,16.9,,,,,,,,,,
马自达5,2008款,,2,自动,豪华型（进口）,2009年8月,11.3,7.5,19.8,,,,,,,,,,
福特翼搏,2013款,翼搏,1.5,双离合,尊贵型,2013年7月,8.1,8.5,13.9,,,,,,,,,,
宝马5系,2013款,530Li,3,自动,领先型,2013年4月,4.1,34,60.7,,,,,,,,,,
大众高尔夫,2010款,高尔夫6,1.6,双离合,舒适版,2010年8月,6.5,7,15.2,,,,,,,,,,
现代索纳塔,2015款,第九代索纳塔,1.6TGDI,双离合,GLS智能型,2015年10月,2.3,15.8,21.1,,,,,,,,,,
MINI,2013款,mini one ,1.6,自动,限量版II(进口),2013年11月,2.9,13.7,25.7,,,,,,,,,,
大众桑塔纳,2008款,桑塔纳,1.8,手动,休闲升级版,2010年2月,9.4,3.95,9.4,,,,,,,,,,
东风风行菱智,2012款,,1.6,手动,商用版实用型,2012年7月,9.9,3.5,6.9,,,,,,,,,,
大众速腾,2012款,速腾,1.4TSI,双离合,豪华版,2012年9月,6,10.8,18.2,,,,,,,,,,
福特蒙迪欧,2013款,蒙迪欧,2.0T,自动,GTDi200 豪华型,2015年1月,2.8,17.8,24.2,,,,,,,,,,
宝马X3,2013款,X3 xDrive20i,2.0T,自动,豪华型（进口）,2013年5月,4.7,32.8,65,,,,,,,,,,
大众速腾,2009款,速腾,1.6,自动,时尚版,2009年6月,10.2,5.95,15.7,,,,,,,,,,
奥迪A6L,2012款,A6L,2.5FSI,无级,30FSI 技术型,2012年8月,6.7,27,47,,,,,,,,,,
雷克萨斯ES,2013款,ES250,2.5,自动,精英版(进口),2014年1月,3.7,24,39,,,,,,,,,,
本田思铂睿,2009款,思铂睿,2.4,自动,TYPE-S,2010年4月,10.6,10.2,27.8,,,,,,,,,,
福特福克斯,2009款,福克斯-两厢,1.8,手动,舒适型,2010年10月,5.5,4.6,12.9,,,,,,,,,,
大众迈腾,2009款,迈腾,1.8TSI,双离合,舒适版,2009年7月,11.1,9.2,24.6,,,,,,,,,,
江淮和悦IEV4,2014款,和悦iEV4,,,,2014年9月,0.4,4.95,18.4,,,,,,,,,,
丰田汉兰达,2013款,汉兰达,2.7,自动,紫金版7座,2015年1月,3.6,24.8,35.7,,,,,,,,,,
大众速腾,2014款,速腾,1.4TSI,双离合,豪华型(改款),2015年1月,3.6,12.8,18.2,,,,,,,,,,
大众朗逸,2008款,朗逸,1.6,自动,品雅版,2009年9月,4.8,6,14.6,,,,,,,,,,
别克君越,2013款,,2.4SIDI,自动,豪华舒适型,2014年5月,4,17.4,29.9,,,,,,,,,,
宝马X5,2013款,X5 xDrive35i,3.0T,自动,领先型(进口),2013年10月,8.1,49,97.8,,,,,,,,,,
标致408,2010款,,2,手动,豪华版,2011年5月,8.4,5.2,15.6,,,,,,,,,,
大众迈腾,2015款,迈腾,1.8TSI,双离合,豪华型,2014年11月,5.8,16.9,25.3,,,,,,,,,,
奥迪A6L,2014款,A6L,2.5FSI,无级,30FSI 豪华型,2014年4月,1.7,32.8,55,,,,,,,,,,
铃木雨燕,2013款,,1.3,手动,超值版,2013年2月,5,3.8,6.5,,,,,,,,,,
大众甲壳虫,2010款,甲壳虫,2,自动,BlackOrange舒适版(进口),2010年5月,3.6,9.7,24.7,,,,,,,,,,
大众Polo,2009款,POLO 劲情,1.4,手动,时尚版,2009年9月,4.9,3.8,9.3,,,,,,,,,,
沃尔沃S40,2011款,,2,双离合,智雅版,2011年12月,4.6,11.8,31.3,,,,,,,,,,
铃木天语SX4-两厢,2013款,,1.6,自动,酷锐款 运动型,2013年8月,2.3,6.9,12.9,,,,,,,,,,
奥迪A4L,2013款,A4L,2.0TFSI,无级,35TFSI 舒适型,2013年9月,6.5,20,35.8,,,,,,,,,,
大众Polo,2012款,Cross POLO,1.6,手动,,2013年10月,4.8,6.5,12.4,,,,,,,,,,
路虎揽胜,2012款,,5,自动,NA(进口),2012年6月,9.3,95,187.6,,,,,,,,,,
日产逍客,2010款,逍客,2,无级,20X雷 两驱,2010年3月,6.7,8.5,20.5,,,,,,,,,,
雪佛兰科帕奇,2012款,,2.4,自动,7座豪华导航版,2012年8月,6.4,13.9,28.6,,,,,,,,,,
马自达睿翼,2012款,睿翼,2,自动,精英版,2013年6月,10.5,9.9,19.5,,,,,,,,,,
Jeep指南者,2014款,,2.4,自动,四驱舒适版(改款,2014年12月,2.5,17,26.7,,,,,,,,,,
奥迪TT,2012款,TT Roadster,2.0TFSI,双离合,典雅版(进口),2012年5月,2.6,24.5,63,,,,,,,,,,
奥迪Q3,2013款,Q3,2.0TFSI,双离合,35TFSI 舒适型,2014年6月,2.2,20.9,30.9,,,,,,,,,,
福特福克斯,2012款,福克斯-两厢,1.6,双离合,风尚型,2012年11月,5.2,8,15.6,,,,,,,,,,
大众途安,2011款,途安,1.4TSI,双离合,5座智臻版,2012年11月,3.3,11.5,21,,,,,,,,,,
大众途观,2010款,途观,2.0TSI,自动,四驱菁英版,2011年10月,4.8,17,30.6,,,,,,,,,,
大众途观,2015款,,1.8TSI,自动,四驱舒适版,2015年7月,3.5,20.2,27.7,,,,,,,,,,
纳智捷大7MPV,2013款,,2.0T,自动,行政版,2014年5月,2.7,15,29.1,,,,,,,,,,
宝马3系,2014款,320Li,2.0T,自动,时尚型,2014年9月,4.9,24.95,38.9,,,,,,,,,,
奥迪A6L,2011款,A6L,2.4,无级,豪华型,2011年8月,7.2,22.5,58.8,,,,,,,,,,
奔驰SLK级,2011款,SLK200,1.8T,自动,时尚型(进口),2014年4月,1.9,36,63.8,,,,,,,,,,
五菱宏光S,2013款,,1.5,手动,舒适型7-8座,2013年10月,2.7,3.98,7.1,,,,,,,,,,
宝马1系,2013款,116i,1.6T,自动,都市型(改款)(进口),2013年11月,2.5,15.98,30.6,,,,,,,,,,
奥迪TT,2013款,TT Coupe,2.0T,双离合,45TFSI(进口),2014年9月,0.5,33.5,56.3,,,,,,,,,,
大众帕萨特,2013款,帕萨特,2.0TSI,双离合,至尊版,2013年6月,2.6,18,30.9,,,,,,,,,,
雪铁龙爱丽舍,2009款,爱丽舍-两厢,1.6,手动,标准型,2010年1月,7.2,3,8,,,,,,,,,,
奔驰C级,2010款,C200 CGI,1.8T,自动,时尚型,2010年11月,8.6,14.6,42.9,,,,,,,,,,
大众迈腾,2008款,迈腾,2.0TSI,自动,豪华版,2008年10月,11.3,8.2,30.4,,,,,,,,,,
宝马3系,2016款,328ixDrive,2.0T,自动,M运动型,2015年11月,2,35.8,51.5,,,,,,,,,,
哈弗H2,2014款,,1.5T,手动,两驱精英版,2014年10月,2.2,7.9,11.3,,,,,,,,,,
雪铁龙世嘉,2009款,世嘉-三厢,1.6,手动,时尚型,2009年11月,10.5,5.5,11.8,,,,,,,,,,
福特猛禽,2011款,F-150 SVT Raptor SuperCab ,6.2,自动,(进口),2014年11月,2.9,48,71.4,,,,,,,,,,
长安商用欧诺,2012款,,1.5,手动,运动精英型,2012年10月,4.4,2.8,6.1,,,,,,,,,,
大众帕萨特,2015款,,1.8TSI,双离合,尊荣版,2015年6月,3.6,17.5,23.8,,,,,,,,,,
现代名图,2014款,,1.8,自动,DLX尊贵版,2014年1月,2.5,11.2,17.3,,,,,,,,,,
大众宝来,2012款,宝来,1.6,手动,舒适版,2012年11月,11.2,6.2,12.9,,,,,,,,,,
大众迈腾,2013款,迈腾,1.8TSI,双离合,尊贵版,2013年7月,7.3,16.5,27.4,,,,,,,,,,
马自达2,2008款,2劲翔,1.5,自动,时尚版,2010年2月,7.4,4.2,11.1,,,,,,,,,,
奔驰M级,2010款,ML300,3,自动,四驱版(进口),2011年11月,8.1,36.8,84.4,,,,,,,,,,
绅宝D50,2015款,,1.5,手动,舒适超值导航版,2015年5月,2.1,5.5,8.9,,,,,,,,,,
华泰圣达菲,2012款,,2,手动,两驱豪华型,2012年8月,5.9,4.6,11.9,,,,,,,,,,
宝马Z4,2013款,Z4 sDrive20i,2.0T,自动,领先型(进口),2013年11月,2,34,63.3,,,,,,,,,,
东南V3菱悦,2011款,,1.5,手动,舒适版,2012年1月,11.6,3.2,7,,,,,,,,,,
东南DX7,2015款,,1.5T,手动,豪华型,2015年12月,0.3,10,13,,,,,,,,,,
宝马3系,2014款,320i,2.0T,自动,进取型,2014年9月,4,23,34.7,,,,,,,,,,
东风风行菱智M3,2013款,,1.6,手动,豪华型,2013年9月,5,4,8.3,,,,,,,,,,
大众途观,2010款,途观,2.0TSI,自动,四驱菁英版,2011年4月,4.9,16,30.6,,,,,,,,,,
大众辉腾,2013款,辉腾,4.2,自动,柏秋纳弗洛版(进口),2013年3月,2,69.8,204.9,,,,,,,,,,
现代雅绅特,2008款,,1.4,手动,舒适型,2009年4月,10.9,2.6,7.8,,,,,,,,,,
斯柯达昊锐,2009款,昊锐,1.8TSI,手动,智雅版,2011年11月,5.6,8.9,19.5,,,,,,,,,,
雪铁龙C5,2014款,C5,1.6THP,自动,尊享型,2015年11月,2.3,15,22,,,,,,,,,,
雪铁龙爱丽舍,2010款,爱丽舍-三厢,1.6,手动,科技型,2010年2月,11.4,2.7,8,,,,,,,,,,
现代新胜达,2013款,,3,自动,7座四驱旗舰版(进口),2014年5月,2,24.5,38.9,,,,,,,,,,
雪佛兰科鲁兹,2012款,,1.6,手动,SE,2012年7月,6.3,6.2,13,,,,,,,,,,
英菲尼迪G25-三厢,2013款,,2.5,自动,豪华运动版(进口),2012年12月,5.5,20,40.8,,,,,,,,,,
宝马X1,2010款,X1 sDrive18i,2,自动,豪华型(进口),2011年11月,10.1,16.8,39.8,,,,,,,,,,
现代伊兰特,2011款,悦动,1.6,自动,舒适型,2012年7月,3.6,6.5,11.9,,,,,,,,,,
现代伊兰特,2010款,悦动,1.6,自动,豪华型,2010年12月,9.8,5.2,13,,,,,,,,,,
大众尚酷,2013款,尚酷GTS,2.0TSI,双离合,竞速版(进口),2014年4月,2.6,19,36.1,,,,,,,,,,
长城M4,2014款,,1.5,手动,两驱舒适型,2014年9月,1,4.95,7,,,,,,,,,,
大众途安,2011款,途安,1.4TSI,手动,5座智雅版,2012年8月,8,8.8,17.9,,,,,,,,,,
大众宝来,2008款,宝来,1.6,手动,时尚版,2008年10月,13.7,3.96,11.7,,,,,,,,,,
斯巴鲁森林人,2009款,,2.5XS,自动,豪华版(进口),2009年4月,14.8,11,29.3,,,,,,,,,,
沃尔沃XC90,2014款,,2.5T,自动,T5豪华版,2014年11月,4.9,35,59.6,,,,,,,,,,
比亚迪S7,2015款,,1.5TI,手动,7座尊贵型,2015年12月,3,8.5,12.7,,,,,,,,,,
斯柯达昊锐,2012款,昊锐,1.4TSI,双离合,优雅版,2013年8月,6.5,12,21.7,,,,,,,,,,
大众迈腾,2011款,迈腾,1.4TSI,双离合,精英版,2011年8月,7,10.5,22.1,,,,,,,,,,
五菱荣光,2012款,,1.2,手动,基本型,2012年4月,8.4,2.25,5.1,,,,,,,,,,
奔驰C级,2011款,C180K,1.6T,自动,经典型,2012年10月,4,17.2,33.4,,,,,,,,,,
奥迪Q7,2014款,Q7,3.0TFSI,自动,35TFSI 进取型(进口),2013年11月,6.8,50.2,89.8,,,,,,,,,,
铃木吉姆尼,2007款,,1.3,自动(进口),,2008年11月,6.8,7.4,16.2,,,,,,,,,,
马自达6,2013款,6,2,自动,时尚版,2014年1月,5.8,9.8,16,,,,,,,,,,
宝马5系,2013款,525Li,2.0T,自动,豪华型,2013年9月,4.6,33,53.7,,,,,,,,,,
本田雅阁,2012款,第八代雅阁,2.4,自动,EXL Navi,2012年2月,7.1,13.5,29,,,,,,,,,,
长安商用欧诺,2014款,,1.5,手动,豪华型7-8座,2014年12月,3.9,4,6.6,,,,,,,,,,
五菱宏光,2010款,,1.4,手动,6430M 基本型,2012年11月,8,3.1,5.5,,,,,,,,,,
奇瑞旗云,2008款,,1.5,手动,豪华版,2009年3月,10,1.6,6.1,,,,,,,,,,
斯柯达昊锐,2012款,昊锐,1.8TSI,手动,优雅版,2012年9月,5.8,10.8,21.3,,,,,,,,,,
雪铁龙世嘉,2011款,世嘉-两厢,1.6,手动,悦雅型,2012年7月,9.6,5,13.1,,,,,,,,,,
标致3008,2013款,,2,自动,潮流版,2013年11月,2.6,12.9,20.3,,,,,,,,,,
日产天籁,2008款,天籁,2.5,无级,XL领先版,2009年7月,13.2,9,24.4,,,,,,,,,,
大众速腾,2012款,速腾,1.6,手动,舒适版,2012年9月,5.8,8.6,15.1,,,,,,,,,,
大众桑塔纳,2008款,桑塔纳,1.8,手动,休闲升级版,2011年3月,8.8,4.2,9.4,,,,,,,,,,
奔驰A级,2013款,A180,1.6T,双离合,时尚型(进口),2013年11月,3,17,27.4,,,,,,,,,,
大众甲壳虫,2013款,甲壳虫,1.4TSI,双离合,豪华型(进口),2013年3月,1.5,16.5,32.5,,,,,,,,,,
现代新胜达,2012款,,2.4,自动,7座四驱至尊版(进口),2012年6月,5.4,16.25,31.1,,,,,,,,,,
宝马5系,2008款,523Li,2.5,自动,豪华型,2009年1月,14.4,14.7,56.6,,,,,,,,,,
